State,County,"Total law
enforcement
employees","Total
officers","Total
civilians"
FLORIDA-Nonmetropolitan Counties,Hendry,143,73,70
FLORIDA-Nonmetropolitan Counties,Highlands,311,130,181
FLORIDA-Nonmetropolitan Counties,Holmes,32,20,12
FLORIDA-Nonmetropolitan Counties,Jackson,81,61,20
FLORIDA-Nonmetropolitan Counties,Lafayette,10,9,1
FLORIDA-Nonmetropolitan Counties,Levy,145,61,84
FLORIDA-Nonmetropolitan Counties,Liberty,23,17,6
FLORIDA-Nonmetropolitan Counties,Madison,75,33,42
FLORIDA-Nonmetropolitan Counties,Monroe,478,214,264
FLORIDA-Nonmetropolitan Counties,Okeechobee,108,75,33
FLORIDA-Nonmetropolitan Counties,Putnam,177,110,67
FLORIDA-Nonmetropolitan Counties,Sumter,251,171,80
FLORIDA-Nonmetropolitan Counties,Suwannee,102,57,45
FLORIDA-Nonmetropolitan Counties,Taylor,66,57,9
FLORIDA-Nonmetropolitan Counties,Union,18,12,6
FLORIDA-Nonmetropolitan Counties,Walton,227,158,69
FLORIDA-Nonmetropolitan Counties,Washington,74,52,22
GEORGIA-Metropolitan Counties,Augusta-Richmond,722,653,69
GEORGIA-Metropolitan Counties,Baker,8,7,1
GEORGIA-Metropolitan Counties,Barrow,188,141,47
GEORGIA-Metropolitan Counties,Bartow,231,199,32
GEORGIA-Metropolitan Counties,Bibb,345,279,66
GEORGIA-Metropolitan Counties,Brantley,38,20,18
GEORGIA-Metropolitan Counties,Brooks,48,19,29
GEORGIA-Metropolitan Counties,Bryan,70,43,27
GEORGIA-Metropolitan Counties,Butts,72,40,32
GEORGIA-Metropolitan Counties,Carroll,181,99,82
GEORGIA-Metropolitan Counties,Catoosa,138,72,66
GEORGIA-Metropolitan Counties,Chattahoochee,13,7,6
GEORGIA-Metropolitan Counties,Cherokee,400,332,68
GEORGIA-Metropolitan Counties,Clarke,171,149,22
GEORGIA-Metropolitan Counties,Clayton,355,271,84
GEORGIA-Metropolitan Counties,Clayton County Police Department,393,339,54
GEORGIA-Metropolitan Counties,Cobb,732,466,266
GEORGIA-Metropolitan Counties,Cobb County Police Department,642,584,58
GEORGIA-Metropolitan Counties,Columbia,361,303,58
GEORGIA-Metropolitan Counties,Coweta,223,147,76
GEORGIA-Metropolitan Counties,Crawford,34,16,18
GEORGIA-Metropolitan Counties,Dade,24,22,2
GEORGIA-Metropolitan Counties,Dawson,106,61,45
GEORGIA-Metropolitan Counties,DeKalb,794,624,170
GEORGIA-Metropolitan Counties,DeKalb County Police Department,"1,271",972,299
GEORGIA-Metropolitan Counties,Dougherty,62,53,9
GEORGIA-Metropolitan Counties,Dougherty County Police Department,47,39,8
GEORGIA-Metropolitan Counties,Douglas,320,285,35
GEORGIA-Metropolitan Counties,Echols,9,8,1
GEORGIA-Metropolitan Counties,Effingham,122,73,49
GEORGIA-Metropolitan Counties,Fayette,227,149,78
GEORGIA-Metropolitan Counties,Floyd,130,78,52
GEORGIA-Metropolitan Counties,Floyd County Police Department,74,69,5
GEORGIA-Metropolitan Counties,Forsyth,366,285,81
GEORGIA-Metropolitan Counties,Fulton,930,783,147
GEORGIA-Metropolitan Counties,Fulton County Police Department,193,141,52
GEORGIA-Metropolitan Counties,Glynn,50,37,13
GEORGIA-Metropolitan Counties,Glynn County Police Department,128,114,14
GEORGIA-Metropolitan Counties,Gwinnett County Police Department,984,713,271
GEORGIA-Metropolitan Counties,Hall,463,290,173
GEORGIA-Metropolitan Counties,Haralson,67,61,6
GEORGIA-Metropolitan Counties,Harris,52,50,2
GEORGIA-Metropolitan Counties,Heard,42,21,21
GEORGIA-Metropolitan Counties,Henry,292,252,40
GEORGIA-Metropolitan Counties,Henry County Police Department,251,217,34
GEORGIA-Metropolitan Counties,Jasper,31,17,14
GEORGIA-Metropolitan Counties,Jones,72,49,23
GEORGIA-Metropolitan Counties,Lamar,54,27,27
GEORGIA-Metropolitan Counties,Lanier,12,9,3
GEORGIA-Metropolitan Counties,Lee,90,47,43
GEORGIA-Metropolitan Counties,Liberty,129,66,63
GEORGIA-Metropolitan Counties,Long,21,18,3
GEORGIA-Metropolitan Counties,Lowndes,242,159,83
GEORGIA-Metropolitan Counties,Madison,60,38,22
GEORGIA-Metropolitan Counties,McDuffie,50,33,17
GEORGIA-Metropolitan Counties,McIntosh,69,53,16
GEORGIA-Metropolitan Counties,Meriwether,60,34,26
GEORGIA-Metropolitan Counties,Monroe,97,52,45
GEORGIA-Metropolitan Counties,Murray,67,40,27
GEORGIA-Metropolitan Counties,Newton,228,141,87
GEORGIA-Metropolitan Counties,Oconee,87,57,30
GEORGIA-Metropolitan Counties,Oglethorpe,48,19,29
